"SYMBOL","ENTREZID"
"Chrnb1","11443"
"Chrnb2","11444"
"Acvr1b","11479"
"Adcy6","11512"
"Adk","11534"
"Adora3","11542"
"Alox8","11688"
"Ank3","11735"
"Anxa3","11745"
"Apbb2","11787"
"Birc5","11799"
"Art2a","11871"
"Astn1","11899"
"Atp1b1","11931"
"Atp9a","11981"
"Bard1","12021"
"Bnip3","12176"
"Brca1","12189"
"Chic1","12212"
"Bsn","12217"
"Bub1","12235"
"C2","12263"
"Cacnb1","12295"
"Cacnb3","12297"
"Cacnb4","12298"
"Aspm","12316"
"Camk2a","12322"
"Capn5","12337"
"Ccna1","12427"
"Ccna2","12428"
"Ccnb2","12442"
"Ccnf","12449"
"Ccs","12460"
"Cct6b","12467"
"Cd1d2","12480"
"Cd36","12491"
"Cd7","12516"
"Cd72","12517"
"Cd9","12527"
"Cdc25c","12532"
"Cdh17","12557"
"Cdk5r1","12569"
"Cebpa","12606"
"Ch25h","12642"
"Chek1","12649"
"Chka","12660"
"Ck-ps3","12708"
"Clcn1","12723"
"Ccr1","12768"
"Ccr7","12775"
"Cnih2","12794"
"Cnr2","12802"
"Cntf","12803"
"Col3a1","12825"
"Col7a1","12836"
"Col9a3","12841"
"Cryz","12972"
"Cttn","13043"
"Cxadr","13052"
"Dgcr6","13353"
"Dhfr","13361"
"Dmwd","13401"
"Dmd","13405"
"Ecm1","13601"
"Egr2","13654"
"Endog","13804"
"Eomes","13813"
"Epb41l1","13821"
"Erbb3","13867"
"Fgd6","13998"
"Gm14288","13999"
"F8","14069"
"Acsl1","14081"
"Fhl4","14202"
"Sh3pxd2a","14218"
"Fkbp1b","14226"
"Dtx1","14357"
"Fzd7","14369"
"B4galnt2","14422"
"Nr6a1","14536"
"Ggt1","14598"
"Gnb5","14697"
"Gng12","14701"
"Gpm6b","14758"
"Grk5","14773"
"Grid2","14804"
"Gstm4","14865"
"Gstt1","14871"
"Gstz1","14874"
"Gt(ROSA)26Sor","14910"
"Gzmc","14940"
"H2-T3","15043"
"Ifi44l","15061"
"Foxq1","15220"
"Hmgn1","15312"
"Hmga2-ps1","15365"
"Hmox1","15368"
"Hoxb4","15412"
"Hoxd1","15429"
"Rida","15473"
"Hspa1l","15482"
"Hyal2","15587"
